SAT_Reading,Reading_Effect,Reading Confidence Lower,Reading Confidence Upper
200.0,-26.08854888092454,-34.54281443076122,-17.634283331087865
201.24223602484471,-26.088548881112605,-34.54281443093616,-17.634283331289048
202.48447204968943,-26.088548881309123,-34.54281443111896,-17.634283331499283
203.72670807453417,-26.088548881513958,-34.54281443130949,-17.63428333171843
204.9689440993789,-26.088548881726965,-34.54281443150761,-17.63428333194632
206.2111801242236,-26.088548881947997,-34.54281443171319,-17.634283332182804
207.45341614906832,-26.088548882176912,-34.5428144319261,-17.634283332427728
208.69565217391303,-26.088548882413562,-34.542814432146194,-17.63428333268093
209.93788819875778,-26.088548882657804,-34.542814432373355,-17.634283332942253
211.1801242236025,-26.088548882909492,-34.54281443260744,-17.634283333211542
212.4223602484472,-26.088548883168496,-34.542814432848346,-17.63428333348865
213.66459627329192,-26.088548883434644,-34.542814433095884,-17.634283333773404
214.90683229813664,-26.088548883707823,-34.542814433349974,-17.63428333406567
216.14906832298135,-26.088548883987862,-34.54281443361045,-17.63428333436527
217.3913043478261,-26.08854888427463,-34.5428144338772,-17.634283334672062
218.6335403726708,-26.088548884567977,-34.54281443415007,-17.634283334985888
219.87577639751552,-26.088548884867773,-34.542814434428955,-17.63428333530659
221.11801242236024,-26.088548885173864,-34.54281443471371,-17.634283335634017
222.36024844720498,-26.0885488854861,-34.542814435004196,-17.634283335968007
223.6024844720497,-26.08854888580434,-34.54281443530028,-17.6342833363084
224.8447204968944,-26.088548886128443,-34.542814435601834,-17.634283336655052
226.08695652173913,-26.088548886458256,-34.54281443590872,-17.634283337007794
227.32919254658384,-26.088548886793653,-34.54281443622082,-17.634283337366483
228.57142857142856,-26.088548887134472,-34.54281443653799,-17.634283337730956
229.8136645962733,-26.088548887480577,-34.5428144368601,-17.634283338101056
231.055900621118,-26.08854888783182,-34.54281443718701,-17.634283338476628
232.29813664596273,-26.088548888188065,-34.5428144375186,-17.63428333885753
233.54037267080744,-26.088548888549152,-34.54281443785473,-17.634283339243574
234.7826086956522,-26.08854888891495,-34.542814438195265,-17.634283339634635
236.0248447204969,-26.088548889285313,-34.54281443854008,-17.63428334003055
237.26708074534162,-26.088548889660157,-34.542814438889096,-17.634283340431217
238.50931677018633,-26.088548890039434,-34.54281443924226,-17.63428334083661
239.75155279503105,-26.0885488904231,-34.54281443959954,-17.634283341246665
240.99378881987576,-26.088548890811104,-34.54281443996087,-17.634283341661337
242.2360248447205,-26.08854889120341,-34.542814440326225,-17.634283342080597
243.47826086956522,-26.088548891599967,-34.54281444069555,-17.634283342504386
244.72049689440993,-26.08854889200074,-34.54281444106881,-17.63428334293267
245.96273291925465,-26.08854889240567,-34.542814441445955,-17.634283343365382
247.2049689440994,-26.088548892814725,-34.54281444182695,-17.6342833438025
248.4472049689441,-26.08854889322786,-34.54281444221174,-17.634283344243975
249.68944099378882,-26.088548893645026,-34.542814442600296,-17.634283344689756
250.93167701863354,-26.088548894066168,-34.542814442992544,-17.634283345139792
252.17391304347825,-26.08854889449126,-34.542814443388465,-17.634283345594053
253.41614906832297,-26.08854889492025,-34.54281444378802,-17.634283346052484
254.65838509316768,-26.088548895353103,-34.54281444419116,-17.634283346515048
255.90062111801242,-26.088548895789753,-34.54281444459782,-17.634283346981682
257.1428571428571,-26.08854889623017,-34.54281444500798,-17.634283347452364
258.3850931677019,-26.088548896674304,-34.54281444542158,-17.63428334792703
259.6273291925466,-26.08854889712212,-34.54281444583859,-17.634283348405653
260.8695652173913,-26.088548897573556,-34.54281444625895,-17.63428334888816
262.111801242236,-26.088548898028588,-34.542814446682634,-17.63428334937454
263.35403726708074,-26.08854889848715,-34.542814447109585,-17.634283349864717
264.59627329192546,-26.088548898949217,-34.54281444753977,-17.63428335035867
265.83850931677017,-26.088548899414732,-34.54281444797313,-17.634283350856336
267.0807453416149,-26.088548899883662,-34.542814448409636,-17.634283351357688
268.3229813664596,-26.088548900355953,-34.54281444884924,-17.634283351862663
269.5652173913044,-26.08854890083156,-34.542814449291896,-17.634283352371227
270.8074534161491,-26.08854890131044,-34.54281444973755,-17.63428335288333
272.0496894409938,-26.088548901792457,-34.54281445018607,-17.63428335339884
273.2919254658385,-26.088548902277253,-34.54281445063708,-17.63428335391743
274.53416149068323,-26.08854890276445,-34.542814451090166,-17.63428335443874
275.77639751552795,-26.088548903253635,-34.542814451544885,-17.63428335496239
277.01863354037266,-26.08854890374444,-34.54281445200084,-17.634283355488037
278.2608695652174,-26.088548904236465,-34.54281445245763,-17.634283356015303
279.5031055900621,-26.088548904729322,-34.542814452914804,-17.63428335654384
280.7453416149068,-26.088548905222616,-34.54281445337197,-17.634283357073265
281.9875776397515,-26.088548905715978,-34.54281445382872,-17.634283357603238
283.22981366459624,-26.088548906209006,-34.542814454284624,-17.63428335813339
284.472049689441,-26.088548906701316,-34.54281445473927,-17.634283358663357
285.7142857142857,-26.088548907192497,-34.54281445519223,-17.634283359192764
286.95652173913044,-26.088548907682185,-34.54281445564311,-17.63428335972126
288.19875776397515,-26.08854890816999,-34.54281445609149,-17.63428336024849
289.44099378881987,-26.088548908655515,-34.542814456536945,-17.634283360774084
290.6832298136646,-26.088548909138357,-34.54281445697905,-17.634283361297662
291.9254658385093,-26.08854890961815,-34.542814457417414,-17.634283361818888
293.167701863354,-26.088548910094502,-34.54281445785161,-17.634283362337392
294.4099378881988,-26.08854891056701,-34.542814458281214,-17.634283362852802
295.6521739130435,-26.08854891103529,-34.54281445870582,-17.63428336336476
296.8944099378882,-26.088548911498968,-34.542814459125026,-17.634283363872914
298.1366459627329,-26.088548911957638,-34.54281445953839,-17.634283364376888
299.37888198757764,-26.088548912410914,-34.542814459945504,-17.634283364876325
300.62111801242236,-26.088548912858403,-34.54281446034595,-17.634283365370855
301.8633540372671,-26.08854891329973,-34.54281446073933,-17.634283365860128
303.1055900621118,-26.08854891373449,-34.542814461125204,-17.63428336634377
304.3478260869565,-26.088548914162306,-34.542814461503184,-17.63428336682143
305.5900621118012,-26.08854891458278,-34.54281446187283,-17.63428336729273
306.83229813664593,-26.088548914995553,-34.542814462233736,-17.63428336775737
308.07453416149065,-26.088548915400533,-34.54281446258558,-17.63428336821549
309.31677018633536,-26.088548915797716,-34.54281446292802,-17.63428336866741
310.55900621118013,-26.088548916187126,-34.54281446326076,-17.63428336911349
311.80124223602485,-26.088548916568776,-34.542814463583476,-17.634283369554076
313.04347826086956,-26.08854891694268,-34.54281446389585,-17.63428336998951
314.2857142857143,-26.08854891730887,-34.54281446419759,-17.634283370420146
315.527950310559,-26.088548917667346,-34.54281446448837,-17.63428337084632
316.7701863354037,-26.088548918018127,-34.54281446476787,-17.634283371268385
318.0124223602484,-26.08854891836124,-34.54281446503579,-17.63428337168669
319.2546583850932,-26.088548918696688,-34.542814465291805,-17.63428337210157
320.4968944099379,-26.088548919024497,-34.54281446553561,-17.634283372513384
321.7391304347826,-26.088548919344678,-34.54281446576688,-17.634283372922475
322.98136645962734,-26.08854891965725,-34.542814465985316,-17.634283373329183
324.22360248447205,-26.08854891996222,-34.54281446619059,-17.63428337373385
325.46583850931677,-26.08854892025962,-34.542814466382396,-17.634283374136842
326.7080745341615,-26.088548920549464,-34.54281446656043,-17.634283374538498
327.9503105590062,-26.08854892083175,-34.54281446672436,-17.634283374939145
329.1925465838509,-26.088548921106515,-34.54281446687388,-17.63428337533915
330.4347826086956,-26.088548921373764,-34.542814467008675,-17.634283375738853
331.67701863354034,-26.088548921633517,-34.54281446712843,-17.634283376138605
332.91925465838506,-26.08854892188579,-34.54281446723284,-17.63428337653874
334.1614906832298,-26.088548922130606,-34.54281446732159,-17.634283376939624
335.4037267080745,-26.08854892236797,-34.54281446739435,-17.634283377341585
336.6459627329192,-26.088548922597905,-34.54281446745083,-17.63428337774498
337.888198757764,-26.088548922820422,-34.5428144674907,-17.634283378150144
339.1304347826087,-26.088548923035546,-34.54281446751365,-17.634283378557438
340.3726708074534,-26.08854892324328,-34.54281446751937,-17.63428337896719
341.6149068322981,-26.088547104527354,-34.54281062123432,-17.63428358782039
342.85714285714283,-26.08844646643899,-34.54259781426541,-17.63429511861257
344.0993788819876,-26.088009985657468,-34.54167489754197,-17.634345073772973
345.3416149068323,-26.086989430632407,-34.539517328034854,-17.63446153322996
346.58385093167703,-26.08513656981343,-34.53560139589553,-17.634671743731325
347.82608695652175,-26.082203171650153,-34.52940503646546,-17.635001306834845
349.06832298136646,-26.077941004592212,-34.520408931471735,-17.63547307771269
350.3105590062112,-26.072101837089217,-34.508097905435534,-17.6361057687429
351.5527950310559,-26.064437437590783,-34.491962626734995,-17.63691224844657
352.7950310559006,-26.054699574546554,-34.471501626980995,-17.637897522112112
354.0372670807453,-26.04264001640613,-34.44622365739512,-17.639056375417134
355.27950310559004,-26.02801053161915,-34.415650406737974,-17.640370656500323
356.52173913043475,-26.01056288863522,-34.37931961202851,-17.64180616524193
357.76397515527947,-25.99004885590397,-34.336788600820384,-17.643309110987563
359.0062111801242,-25.966220201875032,-34.287638312125566,-17.644802091624495
360.2484472049689,-25.93882869499801,-34.23147785212424,-17.64617953787177
361.4906832298136,-25.90762610372253,-34.16794965041589,-17.64730255702917
362.7329192546584,-25.872364196498225,-34.09673529247188,-17.647993100524573
363.9751552795031,-25.83279474177471,-34.01756211367721,-17.64802736987221
365.2173913043478,-25.788669508001593,-33.93021064915176,-17.647128366851422
366.45962732919253,-25.73974026362852,-33.834523040271094,-17.644957486985945
367.70186335403724,-25.685758777105097,-33.7304125017467,-17.641105052463494
368.944099378882,-25.626476816880945,-33.617873949783714,-17.635079683978176
370.18633540372673,-25.561646151405697,-33.496995878681524,-17.62629642412987
371.42857142857144,-25.49101854912897,-33.36797354543217,-17.61406355282577
372.67080745341616,-25.414345778500383,-33.23112347295136,-17.597568084049403
373.9130434782609,-25.33137960796956,-33.086899204304316,-17.575860011634802
375.1552795031056,-25.241871805986126,-32.93590812269666,-17.54783548927559
376.3975155279503,-25.1455741409997,-32.77892898397596,-17.51221929802344
377.639751552795,-25.042324542946453,-32.61705339531231,-17.46759569058059
378.88198757763973,-24.93237224926909,-32.45209162754114,-17.41265287099704
380.12422360248445,-24.816089092416075,-32.285997891361255,-17.346180293470894
381.36645962732916,-24.693846925871384,-32.12063404786702,-17.267059803875746
382.6086956521739,-24.56601760311902,-31.957731106985882,-17.174304099252154
383.8509316770186,-24.432972977642955,-31.798851469003868,-17.06709448628204
385.0931677018633,-24.295084902927194,-31.64535364672491,-16.944816159129477
386.335403726708,-24.1527252324557,-31.498361448817207,-16.807089016094196
387.57763975155274,-24.006265819712482,-31.358739586663383,-16.65379205276158
388.8198757763975,-23.856078518181505,-31.227077386347332,-16.485079650015678
390.0621118012422,-23.702535181346775,-31.103681758964186,-16.301388603729364
391.30434782608694,-23.54600766269227,-30.988579873509117,-16.10343545187542
392.54658385093165,-23.386867815701983,-30.881531195891444,-15.892204435512522
393.78881987577637,-23.225487493859884,-30.782047830505583,-15.668927157214185
395.03105590062114,-23.062238550649973,-30.689421538916015,-15.43505556238393
396.27329192546586,-22.897492839556243,-30.602755485918347,-15.192230193194138
397.51552795031057,-22.731622214062664,-30.520998697042792,-14.942245731082537
398.7577639751553,-22.56499852765324,-30.442981375251073,-14.687015680055408
400.0,-22.39799363381194,-30.3674495563694,-14.42853771125448
401.2422360248447,-22.23097938602277,-30.293098007616393,-14.168860764429146
402.48447204968943,-22.064327637769697,-30.218600721341776,-13.910054554197618
403.72670807453414,-21.898410242536723,-30.142638773686826,-13.654181711386622
404.96894409937886,-21.733599053807833,-30.063925673769823,-13.40327243384584
