Year,Year_Effect,Year Confidence Lower,Year Confidence Upper
2022.0,45.207080449191736,40.90678065560658,49.50738024277689
2022.0062111801242,45.25349433928463,40.9931973869713,49.513791291597954
2022.0124223602484,45.299900219438406,41.079186281841466,49.52061415703535
2022.0186335403728,45.346296891104274,41.16473389974622,49.52785988246233
2022.024844720497,45.39268315572845,41.24982668117166,49.535539630285236
2022.0310559006211,45.439057814762165,41.33445095474647,49.54366467477786
2022.0372670807453,45.48541966965501,41.41859294532652,49.552246393983495
2022.0434782608695,45.53176752185655,41.50223878308031,49.561296260632794
2022.0496894409937,45.578100172816335,41.58537451361128,49.57082583202139
2022.055900621118,45.624416423985636,41.667986109177356,49.580846738793916
2022.0621118012423,45.67071507681064,41.75005948104168,49.59137067257959
2022.0683229813665,45.7169949327426,41.831580493050325,49.60240937243488
2022.0745341614906,45.76325479323108,41.91253497642361,49.61397461003855
2022.0807453416148,45.80949345972565,41.99290874584999,49.626078173601314
2022.0869565217392,45.85570973367757,42.07268761690549,49.63873185044965
2022.0931677018634,45.90190241653303,42.151857424817386,49.65194740824867
2022.0993788819876,45.948070309743265,42.23040404464168,49.66573657484485
2022.1055900621118,45.99421221475789,42.30831341281408,49.680111016701694
2022.111801242236,46.04032693302641,42.38557155012707,49.695082315925745
2022.1180124223602,46.086413265998424,42.462164586114646,49.7106619458822
2022.1242236024846,46.13247001512519,42.53807878483693,49.72686124541346
2022.1304347826087,46.1784959818529,42.61330057202312,49.743691391682674
2022.136645962733,46.224489967632806,42.687816563574984,49.76116337169063
2022.142857142857,46.27045077391446,42.76161359532104,49.779287952507886
2022.1490683229813,46.31637720214744,42.8346787539936,49.798075650301286
2022.1552795031057,46.36226805378301,42.90699940932752,49.817536698238506
2022.1614906832299,46.408122130267344,42.97856324716376,49.837681013370926
2022.167701863354,46.45393823305173,43.049358303475486,49.85851816262797
2022.1739130434783,46.49971516358569,43.119372999123144,49.88005732804824
2022.1801242236024,46.54545171518592,43.18859616680466,49.90230726356718
2022.1863354037266,46.5911465536211,43.25701697159797,49.92527613564423
2022.192546583851,46.636798243390835,43.32462500498218,49.94897148179949
2022.1987577639752,46.68240534620018,43.39141043479116,49.97340025760919
2022.2049689440994,46.72796642375922,43.457364045162734,49.998568802355706
2022.2111801242236,46.773480037776295,43.52247727281153,50.02448280274106
2022.2173913043478,46.818944749959854,43.58674224242741,50.051147257492296
2022.223602484472,46.86435912201825,43.65015180091007,50.07856644312643
2022.2298136645963,46.90972171566154,43.71269955016697,50.10674388115611
2022.2360248447205,46.955031092594794,43.774379878181044,50.135682307008544
2022.2422360248447,47.000285814528056,43.83518798810572,50.16538364095039
2022.248447204969,47.04548444316973,43.89511992507093,50.195848961268524
2022.254658385093,47.0906255402282,43.95417260047429,50.22707847998212
2022.2608695652175,47.13570766741349,44.01234381350028,50.2590715213267
2022.2670807453417,47.18072938643073,44.069632269629864,50.29182650323159
2022.2732919254659,47.225689258989895,44.12603759596709,50.3253409220127
2022.27950310559,47.270585846799435,44.18156035316166,50.35961134043721
2022.2857142857142,47.31541771156771,44.2362020438089,50.39463337932652
2022.2919254658384,47.36018341500313,44.289965117197106,50.43040171280915
2022.2981366459628,47.4048815188157,44.342852970322056,50.46691006730934
2022.304347826087,47.44951058471054,44.39486994511026,50.50415122431082
2022.3105590062112,47.49406917439768,44.44602132186921,50.54211702692615
2022.3167701863354,47.538555849585514,44.49631330895359,50.58079839021744
2022.3229813664595,47.58296917198243,44.54575302874142,50.62018531522343
2022.329192546584,47.627307703298435,44.59434850001194,50.66026690658493
2022.3354037267081,47.67157000523868,44.64210861685291,50.70103139362445
2022.3416149068323,47.715754639513186,44.68904312429394,50.74246615473243
2022.3478260869565,47.759860167830304,44.735162590829596,50.78455774483101
2022.3540372670807,47.80388515189842,44.78047837808621,50.82729192571063
2022.3602484472049,47.847828153411996,44.82500260785837,50.87065369896562
2022.3664596273293,47.891687734034086,44.86874812679636,50.91462734127181
2022.3726708074535,47.9354624554181,44.91172846906878,50.95919644176742
2022.3788819875776,47.979150879222246,44.953957817253894,51.0043439411906
2022.3850931677018,48.02275156710317,44.995450961747544,51.0500521724588
2022.391304347826,48.066263080717505,45.03622325902082,51.09630290241419
2022.3975155279504,48.109683981723414,45.07629058902269,51.14307737442414
2022.4037267080746,48.15301283177439,45.11566931201848,51.1903563515303
2022.4099378881988,48.19624819252861,45.15437622517441,51.238120159882804
2022.416149068323,48.23938862564271,45.192428519136506,51.286348732148916
2022.4223602484471,48.28243269277331,45.22984373488721,51.335021650659414
2022.4285714285713,48.32537895557703,45.26663972111627,51.38411819003779
2022.4347826086957,48.36822597571206,45.30283459233433,51.43361735908979
2022.44099378882,48.410972314831895,45.33844668792687,51.48349794173692
2022.447204968944,48.453616534594715,45.373494532352424,51.53373853683701
2022.4534161490683,48.49615719665714,45.40799679662073,51.584317596693545
2022.4596273291925,48.53859286267579,45.44197226121051,51.635213464141074
2022.4658385093169,48.58092209430885,45.475439780538245,51.68640440807946
2022.472049689441,48.62314345320983,45.508418249068136,51.73786865735152
2022.4782608695652,48.66525550103691,45.54092656915746,51.78958443291636
2022.4844720496894,48.7072567994467,45.572983620668374,51.84152997822502
2022.4906832298136,48.749145910095834,45.604608232402015,51.89368358778965
2022.4968944099378,48.790921394640925,45.63581915536714,51.94602363391471
2022.5031055900622,48.83258181474012,45.66663503788989,51.99852859159034
2022.5093167701864,48.874125732047005,45.69707440254728,52.05117706154673
2022.5155279503106,48.9155517082197,45.727155624917835,52.10394779152157
