SAT_Math,Math_Effect,Math Confidence Lower,Math Confidence Upper
200.0,-26.613579857473795,-55.67115069337997,2.4439909784323817
201.15942028985506,-26.59015727943329,-55.04815923319875,1.8678446743321757
202.31884057971016,-26.566302011881152,-54.44043181714713,1.3078277933848241
203.47826086956522,-26.54195427420013,-53.84875604391507,0.7648474955148075
204.63768115942028,-26.517054285772986,-53.27390349440378,0.23979492285781134
205.79710144927537,-26.49154226598245,-52.7166235609474,-0.26646097101750144
206.95652173913044,-26.4653584342113,-52.17763655437587,-0.753080314046727
208.1159420289855,-26.438443009842256,-51.65762610964991,-1.219259910034605
209.2753623188406,-26.410736212258076,-51.1572309405678,-1.6642414839483486
210.43478260869566,-26.382178260841517,-50.67703602876382,-2.087320492919215
211.59420289855072,-26.35270937497533,-50.217563370939516,-2.4878553790111404
212.7536231884058,-26.32226977404226,-49.779262449391595,-2.865277098692925
213.91304347826087,-26.290799677425063,-49.36250063214516,-3.219098722704974
215.07246376811594,-26.258239304506475,-48.96755374745605,-3.5489248615568982
216.231884057971,-26.224528874669264,-48.59459710970516,-3.85446063963337
217.3913043478261,-26.18960860729618,-48.243697296137356,-4.135519918455007
218.55072463768116,-26.153418721769945,-47.91480498301107,-4.392032460528824
219.71014492753625,-26.115899437473338,-47.6077491426186,-4.6240497323280785
220.8695652173913,-26.076990973789105,-47.32223287747699,-4.831749070101218
222.02898550724638,-26.036633550099985,-47.05783112441018,-5.015435975789792
223.18840579710144,-25.994767385788737,-46.8139904006315,-5.175544370945971
224.34782608695653,-25.9513327002381,-46.590030689489126,-5.312634710987076
225.5072463768116,-25.906269712830845,-46.385149480067,-5.42738994559469
226.66666666666666,-25.859518642949705,-46.198427888317084,-5.5206093975823265
227.82608695652175,-25.811019709977437,-46.02883870432498,-5.593200715629887
228.9855072463768,-25.760713133296786,-45.87525613693357,-5.646170129659996
230.14492753623188,-25.708539132290504,-45.73646696855738,-5.680611296023631
231.30434782608697,-25.65443792634134,-45.61118279335234,-5.697693059330344
232.46376811594203,-25.59834973483205,-45.49805299280517,-5.698646476858929
233.6231884057971,-25.54021286753297,-45.395683203524136,-5.684742531541801
234.7826086956522,-25.479935685763017,-45.30272605991203,-5.6571453116139985
235.94202898550725,-25.417402772347394,-45.21788525076646,-5.616920293928331
237.1014492753623,-25.352498055114246,-45.139865043306976,-5.565131066921516
238.26086956521738,-25.28510546189171,-45.0673753597742,-5.502835564009214
239.42028985507247,-25.21510892050792,-44.99913792689723,-5.431079914118612
240.57971014492753,-25.142392358791028,-44.9338917563356,-5.350892961246458
241.73913043478262,-25.066839704569166,-44.8703979408824,-5.263281468255929
242.8985507246377,-24.98833488567048,-44.807443774031114,-5.1692259973098444
244.05797101449275,-24.906761829923113,-44.74384621938087,-5.069677440465352
245.2173913043478,-24.822004465155192,-44.6784547711802,-4.965554159130189
246.3768115942029,-24.73394671919488,-44.61015375825234,-4.857739680137417
247.53623188405797,-24.642472519870307,-44.537864150964374,-4.747080888776239
248.69565217391306,-24.54746579500961,-44.460544935275806,-4.6343866547434125
249.85507246376812,-24.44881047244093,-44.377194119768745,-4.520426825113116
251.0144927536232,-24.346390479992422,-44.286849441471034,-4.40593151851381
252.17391304347825,-24.240089745492213,-44.188588834760836,-4.291590656223594
253.33333333333334,-24.12979219676844,-44.08153072516452,-4.178053668372364
254.4927536231884,-24.01538176164927,-43.96483420684669,-4.065929316451847
255.6521739130435,-23.896742367962805,-43.837699159396536,-3.9557855765290775
256.81159420289856,-23.77375794353722,-43.699366356431355,-3.8481495306430844
257.9710144927536,-23.646312416200637,-43.54911761579976,-3.743507216601511
259.1304347826087,-23.514289713781203,-43.38627603896482,-3.642303388597579
260.28985507246375,-23.377573764107062,-43.21020638562763,-3.544941142586495
261.4492753623189,-23.236048495006337,-43.02031562893509,-3.451781361077586
262.60869565217394,-23.089597834307202,-42.8160537368007,-3.3631419318137077
263.768115942029,-22.93810570983777,-42.59691472603552,-3.279296693640024
264.92753623188406,-22.781456049426204,-42.362438038218315,-3.200474060634093
266.0869565217391,-22.619533023151536,-42.112211255683114,-3.1268547906199586
267.2463768115942,-22.452291610139795,-41.84615082874826,-3.0584323915313334
268.40579710144925,-22.279855602519802,-41.56487173631132,-2.9948394687282835
269.5652173913044,-22.10237341229173,-41.269091212846476,-2.935655611736987
270.72463768115944,-21.919993451455785,-40.959522659797585,-2.8804642431139804
271.8840579710145,-21.732864132012143,-40.63686908601753,-2.828859178006752
273.04347826086956,-21.541133865960997,-40.30181696952165,-2.7804507624003456
274.2028985507246,-21.34495106530253,-39.95503051479507,-2.7348716158099933
275.36231884057975,-21.144464142036924,-39.59714629274235,-2.691781991331492
276.52173913043475,-20.939821508164396,-39.22876826214218,-2.6508747541866136
277.6811594202899,-20.731171575685096,-38.85046318222469,-2.611879969145498
278.84057971014494,-20.518662756599234,-38.462756435765,-2.574569077433466
280.0,-20.302443462906993,-38.06612829090582,-2.5387586349081666
281.15942028985506,-20.08266210660856,-37.66101063782641,-2.5043135753907073
282.3188405797101,-19.85946709970412,-37.247784243410464,-2.4711499559977703
283.47826086956525,-19.63300685419385,-36.82677657332951,-2.439237135058196
284.6376811594203,-19.403429782077968,-36.398260236598595,-2.40859932755734
285.7971014492754,-19.170884295356643,-35.96245211290734,-2.379316477805947
286.95652173913044,-18.935518806030064,-35.519513228212546,-2.351524383847586
288.1159420289855,-18.697481726098413,-35.069549449653096,-2.3254140025437273
289.27536231884056,-18.45692146756189,-34.61261307741928,-2.3012298577044987
290.4347826086956,-18.21398644242068,-34.14870541955843,-2.2792674652829277
291.59420289855075,-17.968825062674945,-33.67778044681906,-2.2598696785308334
292.7536231884058,-17.721585740324915,-33.19974963976273,-2.2434218408871036
293.9130434782609,-17.47241688737075,-32.714488161040265,-2.2303456137012283
295.07246376811594,-17.22146691581265,-32.221842513825806,-2.221091317799491
296.231884057971,-16.968884237650794,-31.72163988524549,-2.2161285900560976
297.3913043478261,-16.714817264885365,-31.21369942408154,-2.2159351056891907
298.5507246376811,-16.45941440951658,-30.697845768562516,-2.220983050470643
299.71014492753625,-16.20284122092869,-30.174028624770212,-2.2316538170871674
300.8695652173913,-15.945405308605872,-29.643110923650376,-2.2476996935613673
302.0289855072464,-15.687484524246122,-29.10648680123648,-2.268482247255765
303.18840579710144,-15.429457218770304,-28.565664596789187,-2.2932498407514217
304.3478260869565,-15.171701743099273,-28.02225478799258,-2.321148698205965
305.5072463768116,-14.914596448153873,-27.4779609047645,-2.351231991543246
306.6666666666667,-14.658519684854987,-26.93457005938143,-2.3824693103285437
307.82608695652175,-14.403849804123455,-26.393942653400718,-2.4137569548461926
308.9855072463768,-14.150965156880144,-25.858000777662426,-2.44392953609786
310.1449275362319,-13.900244094045897,-25.32871478645653,-2.4717734016352644
311.304347826087,-13.652064966541568,-24.808087511153627,-2.496042421929509
312.463768115942,-13.40680612528805,-24.298135596278996,-2.515476654297103
313.6231884057971,-13.164845921206144,-23.80086750947612,-2.5288243329361695
314.7826086956522,-12.92656270521675,-23.318257915066585,-2.534867495366914
315.94202898550725,-12.69233482824071,-22.852218326478663,-2.5324513300027576
317.1014492753623,-12.462540641198887,-22.404564276609115,-2.5205170057886566
318.2608695652174,-12.23755849501213,-21.976979664721327,-2.4981373253029364
319.4202898550725,-12.01776674060129,-21.570979430644897,-2.464554050557682
320.57971014492756,-11.803543728887243,-21.187872222624616,-2.4192152351498706
321.7391304347826,-11.595267810790835,-20.828725188657316,-2.3618104329243526
322.8985507246377,-11.393317337232924,-20.494333338901587,-2.292301335564261
324.05797101449275,-11.198070659134363,-20.185196004959202,-2.210945313309523
325.2173913043478,-11.009906127416015,-19.901502692098795,-2.118309562733236
326.3768115942029,-10.829202092998734,-19.643130065830263,-2.015274120167204
