SAT_Math,Math_Effect,Math Confidence Lower,Math Confidence Upper
379.0,-18.2780938959299,-33.62790809709164,-2.9282796947681575
379.6368286445013,-18.27806416707487,-33.62780448060192,-2.9283238535478215
380.2736572890026,-18.277856064883252,-33.62707918299964,-2.928632946766866
380.9104859335038,-18.277291216017836,-33.625110671814596,-2.9294717602210785
381.5473145780051,-18.276191247141437,-33.621277899852615,-2.9311045944302627
382.1841432225064,-18.27437778491685,-33.61496086605614,-2.9337947037775667
382.8209718670077,-18.27167245600689,-33.60554140306459,-2.9378035089491856
383.45780051150894,-18.267896887074368,-33.59240419497168,-2.9433895791770563
384.0946291560102,-18.26287270478207,-33.57493803097525,-2.950807378588891
384.7314578005115,-18.256421535792814,-33.55253730338923,-2.9603057681963953
385.3682864450128,-18.2483650067694,-33.52460376186045,-2.972126251678352
386.00511508951405,-18.23852474437464,-33.49054853964214,-2.986500949107139
386.64194373401534,-18.226722375271333,-33.44979447246479,-3.003650278077874
387.27877237851663,-18.212779526122286,-33.401778735972115,-3.0237803162724557
387.9156010230179,-18.196517823590312,-33.34595583392547,-3.0470798132551558
388.55242966751916,-18.1777588943382,-33.28180097650421,-3.0737168121721954
389.18925831202046,-18.156324365028773,-33.208813896132156,-3.1038348339253865
389.82608695652175,-18.132035862324827,-33.126523157432004,-3.1375485672176477
390.46291560102304,-18.10471501288916,-33.034491028236204,-3.1749389975421156
391.0997442455243,-18.074183443384594,-32.9323189901275,-3.216047896641694
391.73657289002557,-18.04026278047392,-32.8196539797613,-3.260871581186546
392.37340153452686,-18.00277465081995,-32.69619546617442,-3.3093538354654797
393.01023017902816,-17.961540681085495,-32.56170348420889,-3.361377877962102
393.6470588235294,-17.916382497933352,-32.41600775966826,-3.416757236198439
394.2838874680307,-17.86714673458032,-32.25918070806805,-3.475112761092591
394.920716112532,-17.81378005045917,-32.09200523761881,-3.5355548632995344
395.55754475703327,-17.756254111556665,-31.915433957744533,-3.5970742653687946
396.1943734015345,-17.694540583859588,-31.73041068123772,-3.658670486481455
396.8312020460358,-17.628611133354685,-31.537861592152247,-3.719360674557123
397.4680306905371,-17.558437426028725,-31.33868657911357,-3.7781882729438774
398.1048593350384,-17.483991127868475,-31.133750747210918,-3.834231508526033
398.7416879795396,-17.405243904860715,-30.923876155341517,-3.886611654379914
399.3785166240409,-17.322167422992187,-30.70983385914872,-3.934500986835655
400.0153452685422,-17.234733348249666,-30.492336371719336,-3.9771303247799956
400.6521739130435,-17.14291334661992,-30.272030683862717,-4.013796009377122
401.28900255754473,-17.04667908408971,-30.049492011747596,-4.0438661564318235
401.925831202046,-16.946002226645813,-29.82521846047755,-4.066785992814074
402.5626598465473,-16.840854440274974,-29.599626806457117,-4.082082074092833
403.1994884910486,-16.73120739096397,-29.373049607992378,-4.089365173935562
403.83631713554985,-16.61703274469958,-29.145733851771368,-4.088331637627789
404.47314578005114,-16.498302167468545,-28.91784133257612,-4.078763002360969
405.10997442455243,-16.37498732525764,-28.689450945409,-4.060523705106279
405.7468030690537,-16.247059884053627,-28.46056304455076,-4.0335567235564955
406.38363171355496,-16.114491509843294,-28.23110599498843,-3.997877024698159
407.02046035805625,-15.97725386861337,-28.000945010756936,-3.9535627264698032
407.65728900255755,-15.83531862635064,-27.769893344882036,-3.900743907819246
408.29411764705884,-15.688657449041873,-27.537725869534558,-3.839589028549188
408.9309462915601,-15.537305435386529,-27.304295707688496,-3.770315163084561
409.56777493606137,-15.381551414934792,-27.06986224055809,-3.6932405893114932
410.20460358056266,-15.221747649949576,-26.83480785407094,-3.6086874458282097
410.84143222506395,-15.05824640269378,-26.599528670832726,-3.516964134554833
411.47826086956525,-14.891399935430304,-26.36442313364605,-3.418376737214558
412.1150895140665,-14.721560510422051,-26.12988149756898,-3.3132395232751204
412.7519181585678,-14.549080389931904,-25.896276339020424,-3.2018844408433846
413.38874680306907,-14.374311836222779,-25.66395418861192,-3.084669483833636
414.0255754475703,-14.197607111557575,-25.43322838969234,-2.96198583342281
414.6624040920716,-14.019318478199168,-25.20437327637265,-2.8342636800256855
415.2992327365729,-13.83979819841047,-24.977619752875643,-2.7019766439452972
415.9360613810742,-13.659398534454388,-24.753152340758742,-2.5656447281500334
416.5728900255755,-13.47847174859381,-24.531107742695152,-2.425835754492468
417.2097186700767,-13.297370103091652,-24.31157495228296,-2.2831652539003446
417.846547314578,-13.116445860210787,-24.094596920294514,-2.13829480012706
418.4833759590793,-12.936051282214125,-23.880173770544268,-1.9919287938839823
419.12020460358053,-12.756538631364583,-23.668267544801424,-1.8448097179277418
419.7570332480818,-12.578260169925029,-23.45880844741245,-1.6977118924376082
420.3938618925831,-12.40156816015837,-23.251702557745162,-1.5514337625715768
421.0306905370844,-12.226814864327517,-23.046840983051688,-1.4067887456033468
421.6675191815857,-12.054352544695359,-22.844110436251626,-1.2645946531390901
422.30434782608694,-11.88453346352481,-22.64340524234668,-1.1256616847029406
422.94117647058823,-11.717709883078747,-22.444640803074215,-0.9907789630832795
423.5780051150895,-11.554148844315344,-22.24774465934999,-0.8605530292807
424.21483375959076,-11.39377650297388,-22.052598902266254,-0.7349541036815079
424.85166240409205,-11.236433793488848,-21.859110307248272,-0.6137572797294233
425.48849104859335,-11.081961650294787,-21.667220341551918,-0.4967029590376537
426.12531969309464,-10.930201007826227,-21.47689145066859,-0.3835105649838635
426.76214833759593,-10.780992800517694,-21.288094657814504,-0.27389094322088603
427.39897698209717,-10.634177962803726,-21.10079847351264,-0.16755745209481
428.03580562659846,-10.489597429118824,-20.914959123493507,-0.06423573474414113
