,ngss_pred
0,1000.0000772202366
1,1000.0000471316201
2,1000.0000016962273
3,1000.0000020955457
4,1000.0000710694061
5,1000.0000222610489
6,1000.0000010623403
7,1000.0000018395951
8,1000.0000807919857
9,1000.0000011278291
10,1000.0000042749351
11,1000.0001422413267
12,1000.0000158267402
13,1000.0000167787963
14,1000.000102255423
15,1000.0000807919857
16,1000.0000691623111
17,1000.002042502014
18,1000.0000086653408
19,1000.0001452133387
20,1000.0000428047882
21,1000.0004412448487
22,1000.0000083337127
23,1000.000003248736
24,1000.0000757518276
25,1000.0000015143107
26,1000.1348093490551
27,1000.0003724813301
28,1000.0000029595424
29,1000.0000032008948
30,1000.000003400052
31,1000.0000106831121
32,1000.0000053881013
33,1000.0000149491476
34,1000.0000085596153
35,1000.0000004850829
36,1000.0000027718963
37,1000.0000213618637
38,1000.0088103217603
39,1000.0000053576058
40,1000.0000099972644
41,1000.0001461912
42,1000.0000015758972
43,1000.0000089280147
44,1000.0000002646734
45,1000.0000072853896
46,1000.0000018914886
47,1000.0010686352224
48,1000.0000049840444
49,1000.0004462475641
50,1000.0000010482412
51,1000.0000015758972
52,1000.0000009891448
53,1000.0001520755047
54,1000.0000010241355
55,1000.0092476956776
56,1000.0041009319222
57,1000.0000134297374
58,1000.0000202800941
59,1000.0000043074367
60,1000.0000006852459
61,1000.0000038713639
62,1000.0000049365327
63,1000.0000038950275
64,1000.0000038276385
65,1000.0000165011207
66,1000.0000049332241
67,1017.088160566
68,1000.0000020802192
69,1060.082719441364
70,1000.0000333762478
71,1000.0000043074367
72,1000.0008076844867
73,1000.0000050208083
74,1000.1327190162963
75,1000.0000284723249
76,1000.0000038713639
77,1000.0000291208705
78,1000.0000114020805
79,1000.0001600539784
80,1000.0000034015065
81,1000.0000226752827
82,1000.0000333762478
83,1000.0019197767625
84,1000.0000192098859
85,1000.000003400052
86,1000.0000021234163
87,1000.0000017412293
88,1000.0000021696121
89,1000.0000288827526
90,1000.000003196845
91,1000.0000016884761
92,1000.0037443074448
93,1000.0000102962044
94,1000.0000017969413
95,1000.0004864063591
96,1000.0000064073052
97,1000.0000165520031
98,1121.5080563176139
99,1000.0000018471986
100,1000.0000046163552
101,1000.0000053576058
102,1000.0000104325909
103,1000.0000017412293
104,1000.0000030314364
105,1000.0000020020864
106,1000.000080460819
107,1000.0000333762478
108,1000.0043459276186
109,1000.0000000030489
110,1000.0000000139694
111,1000.0029521727331
112,1000.0000000003757
113,1000.0000000364196
114,1000.000000000259
115,1000.0000000011744
116,1000.0000000001768
117,1000.0000000023725
118,1000.0000000077762
119,1000.0000000169051
120,1000.0000002657599
121,1000.0000644214091
122,1000.0000000041449
123,1000.0000000155187
124,1000.0000000006617
125,1000.0000000375898
126,1000.0000000393312
127,1000.0000000031914
128,1000.0000002052092
129,1000.0000000420428
130,1000.0000000023535
131,1000.0000000064329
132,1000.0000000251154
133,1000.0000000117768
134,1000.0000000052207
135,1000.000000001126
136,1000.0000088710296
137,1000.0000000003815
138,1000.0000000135369
139,1000.0000088710296
140,1000.0000492068607
141,1000.0000000069714
142,1000.0000000006105
143,1000.0000000029814
144,1000.00000000173
145,1000.0000003748206
146,1000.0000000434482
147,1000.0000000346572
148,1000.0000000175237
149,1000.0000000037502
150,1000.000000890436
151,1000.0000000009345
152,1000.0000000045702
153,1000.000000001758
154,1000.0000000214619
155,1000.0000000005617
156,1000.0000061334815
157,1000.0000000090075
158,1000.0000000052207
159,1000.0000000235007
160,1000.0002491892424
161,1000.0000000048049
162,1000.0000000000178
163,1000.0000000427341
164,1000.0000000077762
165,1000.0000000065965
166,1000.0000000092963
167,1000.0024809090785
168,1000.000000002455
169,1000.0000000077739
170,1000.0009017600781
171,1000.0000000034419
172,1000.0000000030481
173,1000.0000000019925
174,1000.0000000012737
175,1000.0000014104916
176,1000.0000000028631
177,1000.0000000021399
178,1000.0000000028631
179,1000.0000000005938
180,1000.0000000062013
181,1000.0000000420753
182,1000.0000000059975
183,1000.0003111341174
184,1000.0000000008882
185,1000.0000000045177
186,1000.0000000223656
187,1000.0000000276581
188,1000.0000000140177
189,1000.0000000587343
190,1000.0000000002836
191,1000.0000000198615
192,1000.0000000162574
193,1000.0000000007503
194,1000.000000030818
195,1000.0000010974935
196,1000.0000000664128
197,1000.0000000003815
198,1000.0000000041493
199,1000.0000000188471
200,1000.0000000001431
201,1000.0000000014696
202,1000.0000000039099
203,1000.0000000006105
204,1000.0000000093327
205,1000.0000000091918
206,1000.0000035881822
207,1000.0000000064125
208,1000.000000005591
209,1000.0000000014211
210,1000.0000000383984
211,1000.0000000017409
212,1000.0000000010908
213,1000.0000000001093
214,1000.000000030818
215,1000.000000000869
216,1000.0000000011387
217,1000.0000000039171
218,1000.0000000034419
219,1000.0000000020888
220,1000.0000000163118
221,1000.0000000122454
222,1000.0000000037974
223,1000.0000000171915
224,1000.0000000070432
225,1000.0000203427278
226,1000.0000000180256
227,1000.0000000048049
228,1000.0000000661258
229,1000.000000012096
230,1000.0000000065236
231,1000.0000000077739
232,1000.0000000019
233,1000.0000003660278
234,1000.0000000661258
235,1000.0000000023725
236,1000.0000000154242
237,1000.0000009853458
238,1000.0000000005416
239,1000.0000000017252
240,1000.0000001495872
241,1000.000000000003
242,1000.0000001864012
243,1000.0000000054708
244,1000.0000000062577
245,1000.0000000331144
246,1000.0000000085196
247,1000.0000000038735
248,1000.0000000001253
249,1000.0000000000108
250,1000.0000000000331
251,1000.000000000034
252,1000.0000000000053
253,1000.0000000000027
254,1000.0000000000097
255,1000.0000000036184
256,1000.0000000000183
257,1000.0000000000001
258,1000.0000000000492
259,1000.000000000161
260,1000.000000000061
261,1000.000000003203
262,1000.000000000148
263,1000.0000000000084
264,1000.000000000148
265,1000.0000000000007
266,1000.0000000002894
267,1000.000000000016
268,1000.0000000003453
269,1000.0000000000048
270,1000.0000000002532
271,1000.0000000000282
272,1000.000000145707
273,1000.000000000008
274,1000.0000000000047
275,1000.0000000000574
276,1000.0000000000064
277,1000.0000000000003
278,1000.0000000014035
279,1000.0000000000016
280,1000.0000000000168
281,1000.0000000000036
282,1000.0000000013646
283,1000.0000000015839
284,1000.0000000000017
285,1000.0000000002517
286,1000.000000003203
287,1000.0000000000302
288,1000.0000000000126
289,1000.0000000000072
290,1000.000000000015
291,1000.0
292,1000.0000000000017
293,1000.0000000000535
294,1000.0000000000032
295,1000.0000000019189
296,1000.0000000000115
297,1000.0000013054857
298,1000.0000000010559
299,1000.0000000000016
300,1000.000000000003
301,1000.0000000000003
302,1000.0000000000011
303,1000.0000000000118
304,1000.0000000000624
305,1000.0000000000282
306,1000.0000000000085
307,1000.0
308,1000.0000000000024
309,1000.0000000000366
310,1000.0000000000001
311,1000.0000000000088
312,1000.0000000000141
313,1000.0000000000076
314,1000.0000000000058
315,1000.0000000000085
316,1000.0000000002038
317,1000.0000000000011
318,1000.000000000002
319,1000.0000000000375
320,1000.0000000000391
321,1000.0000000000017
322,1000.000000000057
323,1000.0000000000936
324,1000.0000000000065
325,1000.0000000000014
326,1000.0000000000175
327,1000.0000000000118
328,1000.0000000000043
329,1000.0000000000022
330,1000.000000000396
331,1000.0000000000172
332,1000.0000000000375
333,1000.0000000000042
334,1000.000000000262
335,1000.0000000000024
336,1000.0000000000008
337,1000.000000000007
338,1000.0000000000125
339,1000.0000000000003
340,1000.0000000000003
341,1000.0000000003031
342,1000.0000000000003
343,1000.0000000000933
344,1000.000000000035
345,1000.0000000000523
346,1000.0000000000227
347,1000.0000000000041
348,1000.0000000017843
349,1000.0000000000031
350,1000.0000000000001
351,1000.0000000000933
352,1000.0000000001379
353,1000.0000000000575
354,1000.0000000002835
355,1000.0000000000089
356,1000.0000000000939
357,1000.0000000061497
358,1000.0000001764525
359,1000.0000000000116
360,1000.0000000000006
361,1000.0000000000056
362,1000.0000000000077
363,1000.0000000000383
364,1000.0000000000938
365,1000.0000000001588
366,1000.0000000000255
367,1000.0000000000006
368,1000.0027178113927
369,1000.0029794565517
370,1000.0076624807978
371,1001.675954315641
372,1000.0067248911037
373,1000.001713673545
374,1000.0109183695624
375,1000.0016817751917
376,1000.0205918343233
377,1000.1627613099757
378,1000.0004390695574
379,1000.004040253426
380,1000.0009424022978
381,1000.0013946929412
382,1000.0087054204915
383,1000.0023869365468
384,1000.0052848839272
385,1000.0147512945293
386,1000.6073616091959
387,1000.0010185270373
388,1000.000735896179
389,1000.0036249078862
390,1000.0551554645818
391,1000.227126191435
392,1049.2333662825981
393,1000.024025817231
394,1000.001524206271
395,1000.1372567797814
396,1000.0022720789674
397,1000.3709655562476
398,1000.0072282375826
399,1000.0022807082844
400,1000.0501867259619
401,1000.0040978331499
402,1000.0026776873381
403,1000.0030239472729
404,1000.000839784266
405,1000.0511275291252
406,1000.003111864302
407,1000.594374796039
408,1000.0053562928333
409,1000.0068410354512
410,1000.0133115451631
411,1000.0030011301749
412,1000.3959942684174
413,1007.980520900973
414,1000.0026871148398
415,1000.0077134130279
416,1000.0024839166728
417,1000.07612638977
418,1000.0173507295266
419,1000.2638323130585
420,1010.8611706750274
421,1000.0501867259619
422,1000.0044001098081
423,1051.9022127203627
424,1000.1067611983809
425,1000.0099408935856
426,1000.0038370615957
