Year,SAT_Math_z,SAT_Read_z,NGSS
2024,0.8225607477209941,0.886986789023408,1153
2024,0.8225607477209941,0.7828126551026777,1149
2024,-0.8897807658143229,-1.1964958893911968,1072
2024,-0.9968021104102801,-1.300670023311927,1084
2024,-1.959994211773896,-2.134063094677769,1057
2024,1.7857528490846097,0.6786385211819476,1152
2024,-0.46169538743049365,-0.7797993537082758,1116
2024,-0.24765269823857902,-0.3631028180253548,1127
2024,1.2506461261048232,0.886986789023408,1111
2024,-0.5687167320264509,-0.883973487629006,1126
2024,-0.5687167320264509,-0.2589286841046246,1100
2024,1.2506461261048232,0.9911609229441383,1139
2024,0.0734113355492929,0.4702902533404871,1112
2024,-0.033610009046664405,0.4702902533404871,1089
2024,-2.1740369009658105,-0.883973487629006,1072
2024,1.2506461261048232,0.886986789023408,1136
2024,-1.959994211773896,-2.0298889607570385,1067
2024,1.0366034369129087,1.5120315925477894,1133
2024,-0.3546740428345363,0.15776785157829634,1088
2024,1.464688815296738,0.9911609229441383,1118
2024,-0.8897807658143229,0.6786385211819476,1118
2024,0.5014967139331221,1.3036833247063289,1139
2024,0.5014967139331221,0.3661161194197568,1076
2024,0.6085180585290795,0.15776785157829634,1059
2024,0.7155394031250367,0.886986789023408,1106
2024,-0.6757380766224083,-0.883973487629006,1123
2024,1.892774193680567,2.0329022621514405,1144
2024,0.9295820923169513,1.1995091907855986,1145
2024,1.2506461261048232,0.2619419854990266,1112
2024,-0.033610009046664405,-0.05058041626316412,1105
2024,-0.6757380766224083,-0.46727695194608504,1092
2024,-1.2108447996021947,-0.46727695194608504,1101
2024,-0.5687167320264509,-0.15475455018389436,1101
2024,-1.317866144198152,-0.3631028180253548,1074
2024,-0.033610009046664405,0.2619419854990266,1115
2024,-0.5687167320264509,-1.300670023311927,1110
2024,-0.9968021104102801,-1.0923217554704665,1049
2024,-0.7827594212183655,0.3661161194197568,1094
2024,0.9295820923169513,1.82455399430998,1165
2024,-0.8897807658143229,-0.46727695194608504,1096
2024,-1.317866144198152,-0.7797993537082758,1096
2024,1.5717101598926952,0.9911609229441383,1159
2024,0.5014967139331221,-0.05058041626316412,1121
2024,0.3944753693371648,0.3661161194197568,1114
2024,0.3944753693371648,-0.5714510858668153,1109
2024,0.7155394031250367,0.3661161194197568,1109
2024,-1.1038234550062376,-1.717366558994848,1073
2024,0.9295820923169513,1.4078574586270591,1135
2024,-1.1038234550062376,-0.883973487629006,1093
2024,1.2506461261048232,1.1995091907855986,1145
2024,0.5014967139331221,-0.15475455018389436,1084
2024,0.5014967139331221,-0.05058041626316412,1151
2024,0.2874540247412075,-0.2589286841046246,1102
2024,0.1804326801452502,1.0953350568648685,1120
2024,-0.6757380766224083,-1.0923217554704665,1101
2024,1.3576674707007805,1.72037986038925,1111
2024,1.7857528490846097,1.5120315925477894,1160
2024,0.3944753693371648,0.4702902533404871,1126
2024,0.3944753693371648,0.5744643872612173,1078
2024,-0.24765269823857902,-0.05058041626316412,1104
2024,0.2874540247412075,-0.3631028180253548,1127
2024,-1.1038234550062376,-1.0923217554704665,1089
2024,-1.317866144198152,-1.6131924250741176,1056
2024,0.0734113355492929,0.05359371765756611,1112
2024,-0.3546740428345363,-0.15475455018389436,1081
2024,-0.46169538743049365,0.3661161194197568,1085
2024,0.1804326801452502,0.15776785157829634,1151
2024,2.3208595720643963,2.5537729317550917,1177
2024,0.2874540247412075,-0.05058041626316412,1127
2024,2.213838227468439,2.8662953335172823,1173
2024,-0.033610009046664405,0.6786385211819476,1131
2024,-0.24765269823857902,-0.05058041626316412,1111
2024,-0.5687167320264509,1.82455399430998,1146
2024,0.6085180585290795,0.2619419854990266,1126
2024,1.5717101598926952,2.1370763960721706,1182
2024,-0.8897807658143229,0.4702902533404871,1116
2024,-1.1038234550062376,-1.0923217554704665,1081
2024,-1.7459515225819813,-1.0923217554704665,1076
2024,-1.4248874887941094,-0.9881476215497362,1087
2024,0.2874540247412075,1.0953350568648685,1141
2024,-0.5687167320264509,-0.3631028180253548,1116
2024,0.0734113355492929,0.5744643872612173,1114
2024,-0.033610009046664405,0.6786385211819476,1104
2024,1.6787315044886526,1.4078574586270591,1155
2024,-0.8897807658143229,0.2619419854990266,1079
2024,-0.6757380766224083,-0.46727695194608504,1071
2024,-1.1038234550062376,-1.6131924250741176,1092
2024,-0.5687167320264509,-0.6756252197875455,1086
2024,-0.46169538743049365,-0.46727695194608504,1081
2024,0.8225607477209941,0.6786385211819476,1118
2024,-0.9968021104102801,-0.9881476215497362,1083
