SAT_Reading,Reading_Effect,Reading Confidence Lower,Reading Confidence Upper
382.0,-18.36761938679163,-26.754173098644912,-9.98106567493835
382.4330275229358,-18.367612903475884,-26.754147395928335,-9.98107841102343
382.8660550458716,-18.367567520215243,-26.753967478683442,-9.981167561747045
383.29908256880736,-18.36744433706472,-26.753479145564633,-9.981409528564802
383.7321100917431,-18.367204454079342,-26.75252823824863,-9.981880669910057
384.1651376146789,-18.366808971314143,-26.750960691114585,-9.9826572515137
384.59816513761467,-18.36621898882414,-26.74862260089578,-9.983815376752503
385.03119266055046,-18.365395606664368,-26.74536031645016,-9.985430896878574
385.46422018348625,-18.36429992488984,-26.74102054888955,-9.987579300890127
385.89724770642204,-18.362893043555587,-26.73545050242346,-9.990335584687715
386.3302752293578,-18.36113606271664,-26.728498026413696,-9.993774099019582
386.76330275229355,-18.35899008242802,-26.720011789301832,-9.997968375554205
387.19633027522934,-18.356416202744747,-26.70984147526351,-10.002990930225984
387.62935779816513,-18.353375523721862,-26.697838004663737,-10.008913042779986
388.0623853211009,-18.349829145414372,-26.683853779637133,-10.01580451119161
388.4954128440367,-18.34573816787731,-26.667742956399735,-10.023733379354889
388.9284403669725,-18.3410636911657,-26.649361746216076,-10.032765636115325
389.3614678899083,-18.33576681533459,-26.628568747302143,-10.042964883367038
389.794495412844,-18.329808640438966,-26.605225310343215,-10.054391970534716
390.2275229357798,-18.32315026653388,-26.579195940753088,-10.067104592314672
390.6605504587156,-18.315752793674356,-26.550348741299267,-10.081156846049446
391.0935779816514,-18.307577321915407,-26.518555899277686,-10.096598744553125
391.52660550458717,-18.298584951312066,-26.483694223043035,-10.113475679581097
391.95963302752295,-18.288736781919358,-26.445645733395963,-10.13182783044275
392.39266055045874,-18.277993913792308,-26.404298316103432,-10.151689511481184
392.8256880733945,-18.266317446985948,-26.35954644268966,-10.173088451282236
393.25871559633026,-18.253668481555295,-26.31129196759082,-10.196044995519769
393.69174311926605,-18.24000811755538,-26.259445010822184,-10.220571224288577
394.12477064220184,-18.225297455041222,-26.203924936466198,-10.246669973616246
394.5577981651376,-18.20949759406784,-26.14466143855602,-10.27433374957966
394.9908256880734,-18.192569634690287,-26.081595747296724,-10.303543522083851
395.4238532110092,-18.174474676963566,-26.014681970025688,-10.334267383901445
395.85688073394493,-18.155173820942707,-25.94388858284384,-10.366459059041574
396.2899082568807,-18.13463507595942,-25.869235716915696,-10.40003443500314
396.7229357798165,-18.112859434032657,-25.790926222270905,-10.43479264579441
397.1559633027523,-18.089857718056475,-25.709216724659633,-10.470498711453315
397.5889908256881,-18.0656407526118,-25.624364323331495,-10.506917181892103
398.0220183486239,-18.040219362279526,-25.536625478213864,-10.543813246345188
398.4550458715596,-18.013604371640575,-25.446254906976467,-10.580953836304683
398.8880733944954,-17.985806605275837,-25.353504478920172,-10.618108731631501
399.3211009174312,-17.95683688776623,-25.258622103213007,-10.655051672319452
399.75412844036697,-17.926706043692654,-25.161850610829962,-10.691561476555346
400.18715596330276,-17.895424897636026,-25.063426631479487,-10.727423163792567
400.62018348623855,-17.86300427417725,-24.963579468814316,-10.762429079540182
401.05321100917433,-17.829454997897226,-24.86252997931808,-10.796380016476373
401.48623853211006,-17.794787893376867,-24.760489462408096,-10.829086324345639
401.91926605504585,-17.75901378519709,-24.657658571465245,-10.860368998928937
402.35229357798164,-17.72214349793878,-24.554226257647926,-10.890060738229636
402.78532110091743,-17.684187856182856,-24.45036876041267,-10.918006951953043
403.2183486238532,-17.645157684510234,-24.346248660584507,-10.944066708435962
403.651376146789,-17.60506380750181,-24.24201401352572,-10.968113601477901
404.0844036697248,-17.563917049738482,-24.137797581370037,-10.990036518106926
404.5174311926605,-17.52172823580118,-24.033716184352155,-11.009740287250207
404.9504587155963,-17.4785081902708,-23.92987019190999,-11.027146188631614
405.3834862385321,-17.434267737728245,-23.8263431744248,-11.04219230103169
405.8165137614679,-17.389017702754426,-23.723201736165496,-11.054833669343356
406.2495412844037,-17.342768909930253,-23.620495549220202,-11.065042270640305
406.68256880733946,-17.295532183836627,-23.518257606957768,-11.072806760715489
407.11559633027525,-17.247318349054467,-23.416504713922837,-11.078131984186097
407.548623853211,-17.198138230164673,-23.31523822711838,-11.08103823321097
407.9816513761468,-17.148002651748147,-23.214445061481893,-11.081560242014401
408.41467889908256,-17.0969224383858,-23.11409897014859,-11.07974590662301
408.84770642201835,-17.04490841465854,-23.0141621079593,-11.075654721357777
409.28073394495414,-16.991971405147275,-22.914586884757558,-11.069355925536993
409.7137614678899,-16.938122234432914,-22.81531811345911,-11.060926355406718
410.1467889908257,-16.883373139016083,-22.71630943675062,-11.050436841281545
410.57981651376144,-16.827744416099463,-22.617593515266535,-11.037895316932394
411.01284403669723,-16.771259218937818,-22.519234994838193,-11.023283443037442
411.445871559633,-16.713940704132746,-22.42130136801387,-11.00658004025162
411.8788990825688,-16.655812028285805,-22.323861084038843,-10.987762972532767
412.3119266055046,-16.59689634799858,-22.226981755399123,-10.96681094059804
412.7449541284404,-16.537216819872636,-22.13072844017093,-10.943705199574342
413.1779816513762,-16.476796600509555,-22.03516201298408,-10.91843118803503
413.6110091743119,-16.415658846510905,-21.94033763819528,-10.890980054826526
414.0440366972477,-16.35382671447825,-21.846303359400277,-10.86135006955622
414.4770642201835,-16.291323361013166,-21.753098819614213,-10.82954790241212
414.91009174311927,-16.22817194271723,-21.660754126259402,-10.795589759175055
415.34311926605506,-16.164395616192014,-21.56928887448135,-10.759502357902676
