Year,Year_Effect,Year Confidence Lower,Year Confidence Upper
2019.0,48.917975535522636,47.72409679585107,50.111854275194204
2019.0091743119267,48.90428888422738,47.721468825787326,50.08710894266743
2019.0183486238532,48.89060732241788,47.71876992795238,50.06244471688338
2019.0275229357799,48.87693153686692,47.71599850418456,50.03786456954928
2019.0366972477063,48.86326221434858,47.713152908738444,50.01337151995872
2019.045871559633,48.849600041635625,47.710231447615854,49.9889686356554
2019.0550458715597,48.83594570550183,47.707232377957936,49.96465903304572
2019.0642201834862,48.82229989272094,47.704153907505415,49.94044587793647
2019.073394495413,48.80866329006573,47.700994194136946,49.916332385994515
2019.0825688073394,48.7950365843103,47.69775134549638,49.89232182312423
2019.091743119266,48.7814204622274,47.6944234187176,49.868417505737206
2019.1009174311926,48.767815610591136,47.69100842026106,49.84462280092121
2019.1100917431193,48.75422271617427,47.68750430587136,49.82094112647718
2019.119266055046,48.74064246575056,47.68390898067144,49.79737595082968
2019.1284403669724,48.727075546093765,47.68022029940504,49.77393079278249
2019.1376146788991,48.71352264397667,47.676436066842605,49.75060922111073
2019.1467889908256,48.69998444617335,47.67255403836634,49.72741485398036
2019.1559633027523,48.68646163945657,47.668571920748434,49.7043513581647
2019.165137614679,48.672954910600104,47.6644873731411,49.68142244805911
2019.1743119266055,48.659464946377696,47.66029800829308,49.65863188446231
2019.1834862385322,48.645992433562114,47.6560013940111,49.63598347311313
2019.1926605504586,48.63253805892748,47.65159505488474,49.61348106297022
2019.2018348623853,48.619102509246545,47.64707647429019,49.5911285442029
2019.211009174312,48.60568647129305,47.64244309669406,49.568929845892036
2019.2201834862385,48.592290631840775,47.637692330272664,49.54688893340889
2019.2293577981652,48.578915677662486,47.63282154986501,49.525009805459966
2019.2385321100917,48.56556229553227,47.627828100278414,49.50329649078612
2019.2477064220184,48.5522311722229,47.62270929995985,49.481753044485956
2019.2568807339449,48.538922994508454,47.61746244505208,49.46038354396483
2019.2660550458716,48.52563844916172,47.612084813845016,49.43919208447842
2019.2752293577983,48.51237822295645,47.60657367163821,49.41818277427469
2019.2844036697247,48.499143002666386,47.60092627602187,49.3973597293109
2019.2935779816514,48.48593347506432,47.595139882585805,49.37672706754284
2019.302752293578,48.47275034600691,47.589211767065066,49.35628892494876
2019.3119266055046,48.459594412443565,47.58313929390928,49.33604953097785
2019.3211009174313,48.44646649847635,47.57691987291043,49.316013124042264
2019.3302752293578,48.43336742821197,47.57055094461189,49.29618391181206
2019.3394495412845,48.42029802575619,47.56402998838435,49.27656606312803
2019.348623853211,48.407259115216036,47.55735453090288,49.257163699529194
2019.3577981651376,48.39425152069727,47.5505221549953,49.237980886399235
2019.366972477064,48.38127606630692,47.543530508839524,49.21902162377431
2019.3761467889908,48.36833357615075,47.53637731547159,49.2002898368299
2019.3853211009175,48.35542487433544,47.52906038257061,49.18178936610027
2019.394495412844,48.342550784967756,47.52157761247174,49.163523957463774
2019.4036697247707,48.32971213215342,47.513927012357726,49.14549725194911
2019.4128440366972,48.31690973999945,47.506106704575046,49.12771277542386
2019.4220183486239,48.304144432611636,47.49811493700757,49.1101739282157
2019.4311926605506,48.29141703409667,47.48995009344659,49.09288397474675
2019.440366972477,48.27872836856127,47.481610703880754,49.07584603324178
2019.4495412844037,48.26607926011119,47.47309545463216,49.05906306559022
2019.4587155963302,48.25347053285346,47.46440319826202,49.042537867444906
2019.467889908257,48.24090301089384,47.45553296315948,49.0262730586282
2019.4770642201836,48.22837751833904,47.44648396273768,49.010271073940395
2019.48623853211,48.21589487929577,47.4372556041491,48.994534154442434
2019.4954128440368,48.20345591786979,47.4278474964406,48.97906433929898
2019.5045871559632,48.19106145816812,47.418259458071404,48.96386345826484
2019.51376146789,48.17871232429656,47.40849152371221,48.94893312488092
2019.5229357798164,48.16640934036207,47.39854395026142,48.934274730462725
2019.532110091743,48.15415333047048,47.38841722200634,48.91988943893462
2019.5412844036698,48.14194511872843,47.37811205487805,48.90577818257881
2019.5504587155963,48.12978552924269,47.36762939974506,48.891941658740315
2019.559633027523,48.117675386119004,47.35697044470676,48.87838032753125
2019.5688073394494,48.105615513464365,47.346136616359594,48.865094410569135
2019.5779816513761,48.093606735384576,47.33512958000917,48.85208389075998
2019.5871559633028,48.081649875986336,47.32395123882743,48.83934851314524
2019.5963302752293,48.06974575937218,47.31260373194681,48.826887786797556
2019.605504587156,48.057895209620085,47.30108943149663,48.81470098774354
2019.6146788990825,48.046099050800805,47.289410938658975,48.802787162942636
2019.6238532110092,48.0343581069839,47.27757107873137,48.791145135236434
2019.633027522936,48.02267320223984,47.26557289524904,48.77977350923063
2019.6422018348624,48.011045160639064,47.253419643222564,48.768670678055564
2019.651376146789,47.999474806251165,47.241114781556725,48.757834830945605
2019.6605504587155,47.98796296314687,47.228661964724154,48.74726396156959
2019.6697247706422,47.97651045539574,47.216065033761986,48.736955877029494
2019.6788990825687,47.965118107068555,47.2033280066823,48.72690820745481
2019.6880733944954,47.95378674223487,47.1904550683701,48.71711841609964
2019.697247706422,47.942517184965155,47.17745056006555,48.70758380986476
2019.7064220183486,47.93131025932981,47.16431896850898,48.698301550150646
2019.7155963302753,47.92016678939848,47.15106491483887,48.68926866395809
2019.7247706422017,47.90908759924185,47.13769314333069,48.680482055153014
2019.7339449541284,47.898073512929535,47.12420851005104,48.67193851580803
2019.7431192660551,47.88712535453197,47.11061597151538,48.663634737548556
2019.7522935779816,47.87624394811959,47.096920573415346,48.65556732282383
2019.7614678899083,47.865430117762,47.08312743948811,48.647732796035896
