Year,DRG,District,ELA,Math,NGSS,DRG_num
2019,I,Waterbury School District,435,407,1082,9
2019,D,Waterford School District,525,515,1101,4
2019,D,Watertown School District,495,482,1092,4
2019,B,West Hartford School District,566,556,1121,2
2019,H,West Haven School District,469,436,1092,8
2019,None due to lack of data,Westbrook School District,551,530,1094,0
2019,A,Weston School District,604,590,1125,1
2019,A,Westport School District,612,610,1125,1
2019,C,Wethersfield School District,527,514,1102,3
2019,A,Wilton School District,614,595,1116,1
2019,F,Winchester School District,,,,6
2019,I,Windham School District,441,420,1075,9
2019,F,Windsor Locks School District,477,448,1092,6
2019,D,Windsor School District,489,468,1100,4
2019,E,Wolcott School District,526,521,1099,5
2019,C,Woodstock School District,,,,3
2022,N/A,Achievement First Bridgeport Academy District,444,436,1072,0
2022,N/A,Achievement First Hartford Academy District,428,423,1073,0
2022,N/A,Amistad Academy District,436,434,1073,0
2022,G,Ansonia School District,443,416,1085,7
2022,N/A,Area Cooperative Educational Services,,,,0
2022,B,Avon School District,576,574,1124,2
2022,D,Berlin School District,522,516,1105,4
2022,D,Bethel School District,519,508,1113,4
2022,G,Bloomfield School District,457,438,1091,7
2022,C,Bolton School District,551,517,1122,3
2022,None due to lack of data,Bozrah School District,,,,0
2022,D,Branford School District,495,472,1096,4
2022,I,Bridgeport School District,434,408,1077,9
2022,G,Bristol School District,482,462,1093,7
2022,B,Brookfield School District,539,530,1106,2
2022,F,Brooklyn School District,,,,6
2022,E,Canterbury School District,,,,5
2022,B,Canton School District,548,531,1111,2
2022,N/A,Capital Preparatory Harbor School District,426,420,1084,0
2022,N/A,Capitol Region Education Council,445,419,1081,0
2022,B,Cheshire School District,553,541,1108,2
2022,D,Clinton School District,519,513,1101,4
2022,C,Colchester School District,516,516,1103,3
2022,N/A,Common Ground High School District,431,400,1075,0
2022,N/A,Connecticut Technical Education and Career System,440,420,1088,0
2022,N/A,Cooperative Educational Services,,,,0
2022,D,Coventry School District,510,497,1105,4
2022,D,Cromwell School District,508,507,1105,4
2022,H,Danbury School District,457,434,1084,8
2022,A,Darien School District,599,617,1118,1
2022,G,Derby School District,467,432,1079,7
2022,C,East Granby School District,545,514,1106,3
2022,D,East Haddam School District,533,516,1096,4
2022,E,East Hampton School District,502,479,1094,5
2022,H,East Hartford School District,448,436,1089,8
2022,G,East Haven School District,461,434,1087,7
2022,C,East Lyme School District,571,554,1119,3
2022,E,East Windsor School District,464,437,1089,5
2022,N/A,Eastern Connecticut Regional Educational Service Center (EASTCONN),483,413,1087,0
2022,None due to lack of data,Eastford School District,,,,0
2022,N/A,EdAdvance,,,,0
2022,C,Ellington School District,535,529,1105,3
2022,N/A,Elm City College Preparatory School District,427,424,1075,0
2022,D,Enfield School District,485,472,1104,4
2022,N/A,Explorations District,478,416,1090,0
2022,B,Fairfield School District,562,553,1109,2
2022,B,Farmington School District,573,558,1120,2
2022,B,Glastonbury School District,563,563,1114,2
2022,N/A,Goodwin University Educational Services (GUES),457,434,1086,0
2022,C,Granby School District,547,530,1125,3
2022,N/A,Great Oaks Charter School District,408,387,1075,0
2022,B,Greenwich School District,570,563,1124,2
2022,None due to lack of data,Griswold School District,487,464,1103,0
2022,G,Groton School District,495,476,1096,7
2022,B,Guilford School District,565,562,1108,2
2022,D,Hamden School District,486,463,1086,4
2022,I,Hartford School District,436,418,1079,9
2022,None due to lack of data,Hartland School District,,,,0
2022,N/A,Highville Charter School District,,,,0
2022,N/A,Jumoke Academy District,,,,0
2022,G,Killingly School District,504,466,1093,7
2022,N/A,Learn,565,530,1114,0
2022,F,Lebanon School District,509,479,1094,6
2022,D,Ledyard School District,517,510,1102,4
2022,C,Litchfield School District,529,521,1104,3
2022,A,Madison School District,553,564,1104,1
2022,G,Manchester School District,461,451,1089,7
2022,H,Meriden School District,453,423,1083,8
2022,G,Middletown School District,463,441,1084,7
2022,D,Milford School District,514,504,1098,4
2022,B,Monroe School District,548,536,1107,2
2022,F,Montville School District,509,486,1095,6
2022,G,Naugatuck School District,471,441,1090,7
2022,I,New Britain School District,436,407,1083,9
2022,A,New Canaan School District,587,581,1123,1
2022,C,New Fairfield School District,513,508,1092,3
2022,I,New Haven School District,439,416,1077,9
2022,I,New London School District,433,414,1080,9
2022,D,New Milford School District,528,509,1099,4
2022,D,Newington School District,498,502,1097,4
2022,C,Newtown School District,539,545,1102,3
2022,D,North Branford School District,518,499,1104,4
2022,C,North Haven School District,516,509,1101,3
2022,None due to lack of data,North Stonington School District,566,535,1118,0
2022,H,Norwalk School District,477,466,1088,8
2022,N/A,Norwich Free Academy District,479,452,1088,0
2022,H,Norwich School District,,,,8
2022,D,Old Saybrook School District,538,530,1093,4
2022,B,Oxford School District,519,490,1104,2
2022,G,Plainfield School District,463,442,1083,7
2022,G,Plainville School District,491,479,1092,7
2022,F,Plymouth School District,490,480,1096,6
2022,None due to lack of data,Portland School District,514,501,1102,0
2022,E,Preston School District,,,,5
2022,G,Putnam School District,470,432,1091,7
2022,None due to lack of data,Regional School District 01,493,461,1101,0
2022,D,Regional School District 04,563,527,1104,4
2022,B,Regional School District 05,576,576,1115,2
2022,C,Regional School District 06,549,503,1098,3
2022,C,Regional School District 07,521,498,1102,3
2022,C,Regional School District 08,549,549,1104,3
2022,C,Regional School District 09,571,563,1121,3
2022,C,Regional School District 10,536,509,1106,3
2022,E,Regional School District 11,501,515,1102,5
2022,D,Regional School District 12,529,504,1108,4
2022,C,Regional School District 13,542,526,1112,3
2022,C,Regional School District 14,510,492,1095,3
2022,B,Regional School District 15,550,550,1105,2
2022,D,Regional School District 16,514,503,1095,4
2022,C,Regional School District 17,545,516,1096,3
2022,C,Regional School District 18,583,577,1119,3
2022,D,Regional School District 19,550,541,1108,4
2022,A,Ridgefield School District,592,580,1112,1
2022,B,Rocky Hill School District,549,539,1103,2
2022,C,Salem School District,,,,3
2022,D,Seymour School District,503,482,1092,4
2022,D,Shelton School District,509,497,1100,4
2022,C,Sherman School District,,,,3
2022,B,Simsbury School District,577,562,1131,2
2022,C,Somers School District,521,523,1097,3
2022,B,South Windsor School District,541,550,1107,2
2022,C,Southington School District,522,518,1109,3
2022,F,Sprague School District,,,,6
2022,F,Stafford School District,512,502,1101,6
2022,N/A,Stamford Academy District,,,,0
2022,H,Stamford School District,493,473,1090,8
2022,None due to lack of data,Sterling School District,,,,0
2022,C,Stonington School District,537,517,1108,3
2022,G,Stratford School District,466,438,1088,7
2022,C,Suffield School District,530,507,1107,3
2022,N/A,The Bridge Academy District,416,408,1082,0
2022,N/A,The Gilbert School District,496,458,1091,0
2022,N/A,The Woodstock Academy District,516,497,1096,0
2022,E,Thomaston School District,510,488,1094,5
2022,F,Thompson School District,491,482,1096,6
2022,C,Tolland School District,546,556,1096,3
2022,G,Torrington School District,477,454,1090,7
2022,B,Trumbull School District,546,557,1117,2
2022,N/A,Unified School District #2,,,,0
2022,G,Vernon School District,474,457,1093,7
2022,None due to lack of data,Voluntown School District,,,,0
2022,D,Wallingford School District,513,496,1107,4
2022,I,Waterbury School District,425,397,1076,9
2022,D,Waterford School District,529,499,1103,4
2022,D,Watertown School District,493,466,1099,4
2022,B,West Hartford School District,549,545,1116,2
2022,H,West Haven School District,449,429,1088,8
2022,None due to lack of data,Westbrook School District,521,507,1104,0
2022,A,Weston School District,607,587,1123,1
2022,A,Westport School District,604,618,1108,1
2022,C,Wethersfield School District,502,488,1094,3
2022,A,Wilton School District,590,576,1112,1
2022,F,Winchester School District,,,,6
2022,I,Windham School District,424,399,1077,9
2022,F,Windsor Locks School District,469,451,1085,6
2022,D,Windsor School District,478,466,1101,4
2022,E,Wolcott School District,512,492,1095,5
2022,C,Woodstock School District,,,,3
2023,N/A,Achievement First Bridgeport Academy District,430,418,1075,0
2023,N/A,Achievement First Hartford Academy District,394,412,1078,0
2023,N/A,Amistad Academy District,432,430,1068,0
2023,G,Ansonia School District,438,425,1089,7
2023,N/A,Area Cooperative Educational Services,,,,0
2023,B,Avon School District,586,586,1123,2
2023,D,Berlin School District,523,511,1114,4
2023,D,Bethel School District,527,501,1114,4
2023,G,Bloomfield School District,432,417,1088,7
2023,C,Bolton School District,531,503,1114,3
2023,None due to lack of data,Bozrah School District,,,,0
2023,D,Branford School District,497,502,1098,4
2023,I,Bridgeport School District,421,397,1076,9
2023,G,Bristol School District,472,453,1094,7
2023,B,Brookfield School District,522,514,1098,2
2023,F,Brooklyn School District,,,,6
2023,E,Canterbury School District,,,,5
2023,B,Canton School District,556,544,1119,2
2023,N/A,Capital Preparatory Harbor School District,427,440,1091,0
2023,N/A,Capitol Region Education Council,448,429,1083,0
2023,B,Cheshire School District,544,538,1112,2
2023,D,Clinton School District,505,497,1102,4
2023,C,Colchester School District,523,524,1105,3
2023,N/A,Common Ground High School District,416,404,1076,0
2023,N/A,Connecticut Technical Education and Career System,442,425,1092,0
2023,N/A,Cooperative Educational Services,,,,0
2023,D,Coventry School District,519,516,1113,4
2023,D,Cromwell School District,503,505,1106,4
2023,H,Danbury School District,450,435,1089,8
2023,A,Darien School District,598,606,1117,1
2023,G,Derby School District,440,412,1081,7
2023,C,East Granby School District,528,505,1110,3
2023,D,East Haddam School District,492,471,1097,4
2023,E,East Hampton School District,519,504,1105,5
2023,H,East Hartford School District,450,437,1087,8
2023,G,East Haven School District,457,432,1094,7
2023,C,East Lyme School District,550,543,1114,3
2023,E,East Windsor School District,450,435,1091,5
2023,N/A,Eastern Connecticut Regional Educational Service Center (EASTCONN),487,444,1086,0
2023,None due to lack of data,Eastford School District,,,,0
2023,N/A,EdAdvance,,,,0
2023,C,Ellington School District,511,513,1093,3
2023,N/A,Elm City College Preparatory School District,448,441,1071,0
2023,D,Enfield School District,483,482,1103,4
2023,N/A,Explorations District,452,416,1096,0
2023,B,Fairfield School District,556,549,1110,2
2023,B,Farmington School District,569,558,1125,2
2023,B,Glastonbury School District,551,554,1114,2
2023,N/A,Goodwin University Educational Services (GUES),453,419,1083,0
2023,C,Granby School District,542,534,1127,3
2023,N/A,Great Oaks Charter School District,405,399,1076,0
2023,B,Greenwich School District,567,567,1125,2
2023,None due to lack of data,Griswold School District,473,459,1096,0
2023,G,Groton School District,505,493,1096,7
2023,B,Guilford School District,563,569,1107,2
2023,D,Hamden School District,464,448,1087,4
2023,I,Hartford School District,427,412,1080,9
2023,None due to lack of data,Hartland School District,,,,0
2023,N/A,Highville Charter School District,,,,0
2023,N/A,Jumoke Academy District,,,,0
2023,G,Killingly School District,496,482,1103,7
2023,N/A,Learn,527,514,1109,0
2023,F,Lebanon School District,484,467,1102,6
2023,D,Ledyard School District,506,492,1106,4
2023,C,Litchfield School District,541,527,1113,3
2023,A,Madison School District,562,574,1112,1
2023,G,Manchester School District,455,442,1084,7
2023,H,Meriden School District,446,417,1085,8
2023,G,Middletown School District,469,445,1090,7
2023,D,Milford School District,509,492,1097,4
2023,B,Monroe School District,545,543,1098,2
2023,F,Montville School District,501,481,1098,6
2023,G,Naugatuck School District,453,432,1088,7
2023,I,New Britain School District,422,407,1079,9
2023,A,New Canaan School District,597,611,1129,1
2023,C,New Fairfield School District,527,528,1105,3
2023,I,New Haven School District,432,413,1081,9
2023,I,New London School District,411,406,1075,9
2023,D,New Milford School District,505,492,1095,4
2023,D,Newington School District,504,508,1106,4
2023,C,Newtown School District,545,551,1113,3
2023,D,North Branford School District,502,490,1102,4
2023,C,North Haven School District,506,507,1110,3
2023,None due to lack of data,North Stonington School District,518,508,1109,0
2023,H,Norwalk School District,459,447,1087,8
2023,N/A,Norwich Free Academy District,459,447,1092,0
2023,H,Norwich School District,,,,8
2023,D,Old Saybrook School District,534,531,1104,4
2023,B,Oxford School District,523,517,1109,2
2023,G,Plainfield School District,460,427,1091,7
2023,G,Plainville School District,505,499,1097,7
2023,F,Plymouth School District,472,460,1097,6
2023,None due to lack of data,Portland School District,525,511,1110,0
2023,E,Preston School District,,,,5
2023,G,Putnam School District,486,456,1093,7
2023,None due to lack of data,Regional School District 01,478,446,1093,0
2023,D,Regional School District 04,524,503,1103,4
2023,B,Regional School District 05,559,557,1106,2
2023,C,Regional School District 06,502,487,1088,3
2023,C,Regional School District 07,528,520,1108,3
2023,C,Regional School District 08,540,532,1102,3
2023,C,Regional School District 09,577,576,1128,3
2023,C,Regional School District 10,535,518,1107,3
2023,E,Regional School District 11,488,499,1108,5
2023,D,Regional School District 12,523,511,1114,4
2023,C,Regional School District 13,530,520,1116,3
2023,C,Regional School District 14,502,501,1093,3
2023,B,Regional School District 15,533,535,1103,2
2023,D,Regional School District 16,524,526,1105,4
2023,C,Regional School District 17,552,539,1122,3
2023,C,Regional School District 18,583,580,1119,3
2023,D,Regional School District 19,531,512,1104,4
2023,A,Ridgefield School District,582,569,1113,1
2023,B,Rocky Hill School District,545,561,1112,2
2023,C,Salem School District,,,,3
2023,D,Seymour School District,508,493,1103,4
2023,D,Shelton School District,495,497,1102,4
2023,C,Sherman School District,,,,3
2023,B,Simsbury School District,550,549,1128,2
2023,C,Somers School District,514,507,1101,3
2023,B,South Windsor School District,529,544,1119,2
2023,C,Southington School District,505,505,1107,3
2023,F,Sprague School District,,,,6
2023,F,Stafford School District,512,511,1109,6
2023,N/A,Stamford Academy District,,,,0
2023,H,Stamford School District,484,476,1089,8
2023,None due to lack of data,Sterling School District,,,,0
2023,C,Stonington School District,534,512,1122,3
2023,G,Stratford School District,466,462,1090,7
2023,C,Suffield School District,525,514,1108,3
2023,N/A,The Bridge Academy District,418,427,1082,0
2023,N/A,The Gilbert School District,464,459,1087,0
2023,N/A,The Woodstock Academy District,510,486,1105,0
2023,E,Thomaston School District,503,467,1092,5
2023,F,Thompson School District,481,454,1092,6
2023,C,Tolland School District,543,551,1113,3
2023,G,Torrington School District,460,428,1088,7
2023,B,Trumbull School District,537,546,1117,2
